Date,Type,Name,Start,End,Duration
11/03/16,place,DEI,2016-03-11T08:51:23Z,2016-03-11T13:35:00Z,17017
11/03/16,move,walking,2016-03-11T13:35:00Z,2016-03-11T14:13:48Z,2328
11/03/16,place,DEI,2016-03-11T14:13:48Z,2016-03-11T16:52:08Z,9500
11/03/16,move,walking,2016-03-11T16:52:08Z,2016-03-11T17:06:33Z,865
11/03/16,move,transport,2016-03-11T17:06:33Z,2016-03-11T17:20:01Z,808
11/03/16,move,transport,2016-03-11T17:20:02Z,2016-03-11T17:30:10Z,608
11/03/16,place,British Council,2016-03-11T17:30:10Z,2016-03-11T17:43:13Z,783
11/03/16,move,walking,2016-03-11T17:43:13Z,2016-03-11T17:58:54Z,941
11/03/16,place,Afonso,2016-03-11T17:58:54Z,2016-03-11T19:08:22Z,4168
11/03/16,move,transport,2016-03-11T19:08:22Z,2016-03-11T19:18:52Z,630
11/03/16,place,British Council,2016-03-11T19:18:52Z,2016-03-11T20:24:59Z,3967
11/03/16,move,transport,2016-03-11T20:24:59Z,2016-03-11T20:31:42Z,403
11/03/16,move,walking,2016-03-11T20:31:42Z,2016-03-11T20:34:01Z,139
11/03/16,place,HOME,2016-03-11T20:34:02Z,2016-03-12T00:00:00Z,12358
12/03/16,place,HOME,2016-03-12T00:00:00Z,2016-03-12T10:08:04Z,36484
12/03/16,move,transport,2016-03-12T10:08:04Z,2016-03-12T10:39:07Z,1863
12/03/16,place,Campo S Martinho,2016-03-12T10:39:08Z,2016-03-12T12:28:20Z,6552
12/03/16,move,transport,2016-03-12T12:28:20Z,2016-03-12T12:43:48Z,928
12/03/16,place,Jumbo - Estação de Serviço,2016-03-12T12:43:48Z,2016-03-12T12:53:29Z,581
12/03/16,move,transport,2016-03-12T12:53:29Z,2016-03-12T13:01:49Z,500
12/03/16,place,HOME,2016-03-12T13:01:49Z,2016-03-12T14:19:22Z,4653
12/03/16,move,walking,2016-03-12T14:19:22Z,2016-03-12T15:10:19Z,3057
12/03/16,place,Horto Mondego,2016-03-12T15:10:19Z,2016-03-12T15:19:01Z,522
12/03/16,move,walking,2016-03-12T15:19:01Z,2016-03-12T15:22:12Z,191
12/03/16,place,Place in Portugal,2016-03-12T15:22:13Z,2016-03-12T15:33:58Z,705
12/03/16,move,walking,2016-03-12T15:33:58Z,2016-03-12T15:38:48Z,290
12/03/16,place,Place in Portugal,2016-03-12T15:38:48Z,2016-03-12T15:42:59Z,251
12/03/16,move,walking,2016-03-12T15:42:59Z,2016-03-12T15:47:32Z,273
12/03/16,place,HOME,2016-03-12T15:47:33Z,2016-03-12T18:15:51Z,8898
12/03/16,move,transport,2016-03-12T18:15:51Z,2016-03-12T18:29:42Z,831
12/03/16,place,Jumbo,2016-03-12T18:29:42Z,2016-03-12T20:38:58Z,7756
12/03/16,move,transport,2016-03-12T20:38:58Z,2016-03-12T20:45:41Z,403
12/03/16,place,HOME,2016-03-12T20:45:42Z,2016-03-13T00:00:00Z,11658
13/03/16,place,HOME,2016-03-13T00:00:00Z,2016-03-13T17:49:47Z,64187
13/03/16,move,walking,2016-03-13T17:49:47Z,2016-03-13T18:09:26Z,1179
13/03/16,place,Dolce Vita Coimbra,2016-03-13T18:09:26Z,2016-03-13T18:53:54Z,2668
13/03/16,move,walking,2016-03-13T18:53:54Z,2016-03-13T19:40:20Z,2786
13/03/16,place,HOME,2016-03-13T19:40:20Z,2016-03-14T00:00:00Z,15580
14/03/16,place,HOME,2016-03-14T00:00:00Z,2016-03-14T08:06:51Z,29211
14/03/16,move,transport,2016-03-14T08:06:51Z,2016-03-14T08:19:24Z,753
14/03/16,move,walking,2016-03-14T08:19:25Z,2016-03-14T08:37:41Z,1096
14/03/16,place,DEI,2016-03-14T08:37:42Z,2016-03-14T17:14:45Z,31023
14/03/16,move,walking,2016-03-14T17:14:45Z,2016-03-14T17:29:55Z,910
14/03/16,move,transport,2016-03-14T17:29:56Z,2016-03-14T18:05:58Z,2162
14/03/16,move,walking,2016-03-14T18:05:58Z,2016-03-14T18:09:39Z,221
14/03/16,place,Fnac,2016-03-14T18:09:40Z,2016-03-14T19:05:00Z,3320
14/03/16,move,transport,2016-03-14T19:05:00Z,2016-03-14T19:25:57Z,1257
14/03/16,place,HOME,2016-03-14T19:25:57Z,2016-03-15T00:00:00Z,16443
15/03/16,place,HOME,2016-03-15T00:00:00Z,2016-03-15T08:14:53Z,29693
15/03/16,move,transport,2016-03-15T08:14:53Z,2016-03-15T08:30:25Z,932
15/03/16,move,walking,2016-03-15T08:30:26Z,2016-03-15T08:34:12Z,226
15/03/16,place,DEI,2016-03-15T08:34:13Z,2016-03-15T13:33:55Z,17982
15/03/16,move,walking,2016-03-15T13:33:55Z,2016-03-15T13:48:37Z,882
15/03/16,place,DEI,2016-03-15T13:48:38Z,2016-03-15T14:58:58Z,4220
15/03/16,move,walking,2016-03-15T14:58:58Z,2016-03-15T15:04:13Z,315
15/03/16,place,DEI,2016-03-15T15:04:13Z,2016-03-15T16:34:52Z,5439
15/03/16,move,walking,2016-03-15T16:34:52Z,2016-03-15T16:42:55Z,483
15/03/16,place,DEI,2016-03-15T16:42:55Z,2016-03-15T19:34:16Z,10281
